"state_code","full_code","owner_022","service_on_042a","year_built_027","facility_carried_007","location_009","deck_cond_058","superstructure_cond_059","substructure_cond_060"
"Massachusetts","Hampshire County","City or Municipal Highway Agency","Highway",1940,"HWY   OLD SPFLD RD","1 M N OF EAST ST","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Michigan","Allegan County","County Highway Agency","Highway",1926,"47TH STREET","OVERISEL TWP SEC 6","IMMINENT FAILURE CONDITION","POOR CONDITION","POOR CONDITION"
"Michigan","Allegan County","County Highway Agency","Highway",1969,"138TH AVE","APPROX 0.25 MI E OF 28TH","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Michigan","Calhoun County","County Highway Agency","Highway",1988,"24 MILE ROAD","3 1/2 MI NW OF ALBION","FAIR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Michigan","Gogebic County","County Highway Agency","Highway",1906,"COPPS MINE ROAD","SEC 28 MARENISCO TWP","IMMINENT FAILURE CONDITION","POOR CONDITION","CRITICAL CONDITION"
"Michigan","Ionia County","County Highway Agency","Highway",1970,"BELL ROAD","1.25 MI W 3.5 MI S CLARKS","POOR CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Michigan","Iosco County","County Highway Agency","Highway",1915,"ALABASTER RD","3.625 MI W OF M-65","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service"
"Michigan","Macomb County","County Highway Agency","Highway",1964,"25 MILE ROAD","0.6 MI WEST OF CARD ROAD","POOR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Michigan","Manistee County","County Highway Agency","Highway",1910,"LEFFEW ROAD","5 MI SW OF COPEMISH","POOR CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Michigan","Monroe County","County Highway Agency","Highway",1937,"DAY ROAD","0.5 MI E OF BUNCE ROAD","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Michigan","Muskegon County","City or Municipal Highway Agency","Highway",1929,"OTTAWA ST","0.25 MI N OF BAYOU ST","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Michigan","Ottawa County","City or Municipal Highway Agency","Highway-pedestrian",1970,"GROVE ST","COOPERSVILLE","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Michigan","Saginaw County","County Highway Agency","Highway",1959,"BUECHE ROAD","0.5 MI N OF FRY ROAD","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Michigan","Washtenaw County","County Highway Agency","Highway",1932,"LIBERTY ROAD","LIMA TWP SEC 27 & 34","FAIR CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Michigan","Marquette County","Other State Agencies","Highway",1980,"COUNTY ROAD EXTN","0.5 MI W OF CR 581","POOR CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Michigan","Mecosta County","County Highway Agency","Highway",2011,"220TH AVENUE","600 FT S OF 22 MILE ROAD","IMMINENT FAILURE CONDITION","POOR CONDITION","VERY GOOD CONDITION"
"Minnesota","Lake County","U.S. Forest Service","Highway",1978,"TRAPPERS LAKE RD","12.8MI W OF JCT CSAH 7","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Minnesota","Itasca County","County Highway Agency","Highway",1917,"UT 446","0.4 MI S OF JCT CSAH 10","POOR CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Minnesota","Crow Wing County","Town or Township Highway Agency","Highway",1908,"T 1331","0.2 MI N OF JCT CSAH 2","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"Minnesota","Olmsted County","County Highway Agency","Highway",1895,"CR 121","1.4 MI E OF JCT CR 112","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Minnesota","Renville County","Town or Township Highway Agency","Highway",1890,"T 189","0.3 MI N OF JCT CSAH 2","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Amite County","County Highway Agency","Highway",1958,"TRASK ROAD","SEC 37 T 1N R 2E","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","GOOD CONDITION"
"Mississippi","Amite County","County Highway Agency","Highway",1982,"MOORE ROAD","SEC  1 T 3N R 5E","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Amite County","County Highway Agency","Highway",1974,"JONES ROAD","SEC 14 T 4N R 6E","GOOD CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Benton County","County Highway Agency","Highway",1960,"BRENTS ROAD","SEC 26 T 5S R 1W        B","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Bolivar County","Town or Township Highway Agency","Highway",1964,"RAILROAD AVE.","SEC 31 T23N R 6W","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Bolivar County","County Highway Agency","Highway",1974,"HOWDEN LAKE ROAD","SEC 10 T25N R 5W        B","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Carroll County","County Highway Agency","Highway",1960,"CO RD 43","SEC  1 T16N R 3E","FAILED CONDITION - out of service","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION"
"Mississippi","Carroll County","County Highway Agency","Highway",1930,"CO RD 144","SEC 14 T17N R 3E","POOR CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Choctaw County","County Highway Agency","Highway",1997,"RUFF ROAD","SEC 24 T18N R 9E","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Mississippi","Choctaw County","County Highway Agency","Highway",1997,"E.CLEAR SPRINGS RD","SEC 29 T18N R10E","IMMINENT FAILURE CONDITION","FAIR CONDITION","FAIR CONDITION"
"Mississippi","Claiborne County","County Highway Agency","Highway",1917,"SHAIFER HOUSE RD","SEC 16 T11N R 2E","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Clarke County","County Highway Agency","Highway",1960,"CO RD 650","SEC  2 T 2N R17E        B","POOR CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Franklin County","County Highway Agency","Highway",1903,"WRIGHT ROAD","SEC  7 T 7N R 5E        B","FAIR CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Hinds County","City or Municipal Highway Agency","Highway",1959,"OLD BYRAM RD","SEC 18 T 4N R 1E","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Holmes County","County Highway Agency","Highway",1953,"CHRISTMAS PLACE RD","SEC  7 T14N R 1E        B","CRITICAL CONDITION","CRITICAL CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Holmes County","County Highway Agency","Highway",1965,"STOKES CEMETERY RD","SEC 11 T15N R 3E","SERIOUS CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Humphreys County","County Highway Agency","Highway",1961,"EAST FIVE MILE RD","SEC 10 T13N R 3W","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Humphreys County","County Highway Agency","Highway",1978,"RICE ROAD","SEC  7 T13N R 4W","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Jones County","County Highway Agency","Highway",1962,"OILWELL RD","SEC 28 T 6N R11W","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Jones County","County Highway Agency","Highway",1966,"BERRY RD","SEC 16 T 6N R13W","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Jones County","County Highway Agency","Highway",1964,"WALTERS RD","SEC 36 T 8N R12W","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lauderdale County","County Highway Agency","Highway",1987,"PICKARD CAMPBELL","SEC 32 T 5N R17E","SATISFACTORY CONDITION","VERY GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lauderdale County","County Highway Agency","Highway",1930,"DALE DRIVE","SEC 34 T 7N R16E","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lawrence County","County Highway Agency","Highway",1971,"JOHNSON-CARR RD","SEC 22 T 7N R10E","POOR CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lee County","County Highway Agency","Highway",1966,"CR 1213","SEC 19 T 7S R 7E","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Mississippi","Lincoln County","County Highway Agency","Highway",1975,"HOMESVILLE RD SE","SEC  8 T 5N R 7E","POOR CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lincoln County","County Highway Agency","Highway",1966,"FOX ROAD","SEC 15 T 5N R 8E        B","SERIOUS CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lincoln County","County Highway Agency","Highway",1972,"BUTLER LN SW","SEC 16 T 6N R 6E","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lincoln County","County Highway Agency","Highway",1973,"BUTLER LN SW","SEC 16 T 6N R 6E","FAIR CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lincoln County","County Highway Agency","Highway",1975,"RICHARDSON LN SW","SEC 10 T 6N R 7E","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lincoln County","County Highway Agency","Highway",1959,"OLD MALCUM RD SE","SEC  9 T 7N R 9E        B","POOR CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lincoln County","County Highway Agency","Highway",1972,"BEESON ROAD","SEC 35 T 8N R 8E","VERY GOOD CONDITION","VERY GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Lincoln County","County Highway Agency","Highway",1991,"VIENNA ROAD","SEC 18 T 7N R 7E","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Mississippi","Madison County","County Highway Agency","Highway",1970,"KING RANCH ROAD","SEC 11 T 9N R 2E","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Newton County","County Highway Agency","Highway",1922,"GRIFFIS FOUNTAIN","SEC 35 T 6N R13E","POOR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Mississippi","Quitman County","County Highway Agency","Highway",1972,"ROAD TO FIELD","SEC  1 T 7S R10W","POOR CONDITION","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"Mississippi","Quitman County","County Highway Agency","Highway",1963,"ROAD TO FIELD","SEC 12 T 8S R10W        B","SATISFACTORY CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Quitman County","County Highway Agency","Highway",1958,"DRY BAYOU ROAD","SEC 36 T26N R 1E        B","POOR CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Quitman County","County Highway Agency","Highway",1942,"ROOSEVELT ROAD","SEC 29 T26N R 2W        B","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Mississippi","Quitman County","County Highway Agency","Highway",1930,"REGAL ROAD","SEC 20 T28N R 1W","SERIOUS CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Smith County","County Highway Agency","Highway",1960,"SMITH CO 538 - B","SEC  2 T 4N R 6E        B","POOR CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Sunflower County","County Highway Agency","Highway",1970,"DOCKERY-RALPH RAY","SEC 20 T22N R 4W        B","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Sunflower County","County Highway Agency","Highway",1977,"BLACKWOOD ROAD","SEC 10 T23N R 3W","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Sunflower County","County Highway Agency","Highway",1972,"GRITTMAN ROAD","SEC 20 T23N R 3W","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Sunflower County","County Highway Agency","Highway",1973,"CLAY RIDGE ROAD","SEC  3 T24N R 3W","SATISFACTORY CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Sunflower County","County Highway Agency","Highway",1961,"WARD RIDDICK ROAD","SEC 23 T24N R 3W","FAILED CONDITION - out of service","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION"
"Mississippi","Tallahatchie County","County Highway Agency","Highway",1965,"TUTWILER ROAD","SEC_28_T25N_R 2W        B","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Tallahatchie County","County Highway Agency","Highway",1945,"RUFFIN ROAD","SEC  2 T26N R 3E        B","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Washington County","County Highway Agency","Highway",1987,"NIGHTENGALE ROAD","SEC 10 T15N R 5W","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Washington County","County Highway Agency","Highway",1966,"GREER ROAD","SEC 31 T16N R 5W","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Washington County","City or Municipal Highway Agency","Highway",1980,"BRIESCH ROAD","SEC 14 T18N R 7W","FAIR CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Webster County","County Highway Agency","Highway",1968,"CO RD 263","SEC  5 T20N R11E","SATISFACTORY CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Webster County","County Highway Agency","Highway",1975,"(SALLY RD) CO RD40","SEC 26 T20N R 8E","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Wilkinson County","County Highway Agency","Highway",1935,"L LEAKE ROAD","SEC 40 T 3N R 1W","GOOD CONDITION","CRITICAL CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Wilkinson County","County Highway Agency","Highway",1958,"OLD US 61","SEC 12 T 4N R 1W        B","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Wilkinson County","County Highway Agency","Highway",1946,"SMITH RD","SEC 29 T 4N R 2W        B","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Yalobusha County","County Highway Agency","Highway",1967,"CO RD 46","SEC 26 T11S R 6W","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Mississippi","Yazoo County","County Highway Agency","Highway",1996,"GREER ROAD","SEC 28 T12N R 2E        B","POOR CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"Missouri","Nodaway County","County Highway Agency","Highway",1915,"120TH ST","S 6 T 66 N R 33 W","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Missouri","Daviess County","County Highway Agency","Highway",1910,"330TH ST","S 25 T 59 N R 26 W","IMMINENT FAILURE CONDITION","POOR CONDITION","SERIOUS CONDITION"
"Missouri","Nodaway County","County Highway Agency","Highway",2007,"125TH ST","S 9 T 66 N R 37 W","EXCELLENT CONDITION","EXCELLENT CONDITION","IMMINENT FAILURE CONDITION"
"Missouri","Henry County","Corps of Engineers (Civil)","Highway",1950,"COUNTY ROAD","TRUMAN RESERVOIR","FAIR CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"Nebraska","Antelope County","County Highway Agency","Highway",1935,"516TH AVE","6.5N 2W OF ROYAL","FAIR CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"Nebraska","Custer County","County Highway Agency","Highway",1935,"TOWNSHIP ROAD","5E 2.8N OCONTO    #572","POOR CONDITION","CRITICAL CONDITION","IMMINENT FAILURE CONDITION"
"Nebraska","Holt County","County Highway Agency","Highway",1935,"TOWNSHIP ROAD","2E 14.1N ONEILL","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Nebraska","Otoe County","County Highway Agency","Highway",1935,"COUNTY HIGHWAY","1.7E .6S OF LORTON","IMMINENT FAILURE CONDITION","SERIOUS CONDITION","SERIOUS CONDITION"
"Nebraska","Otoe County","County Highway Agency","Highway",1935,"COUNTY HIGHWAY",".3E .8S DUNBAR","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION","FAILED CONDITION - out of service"
"Nebraska","Pawnee County","County Highway Agency","Highway",1935,"607 AVENUE","5W .7N OF BURCHARD","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Nebraska","Thurston County","County Highway Agency","Highway",1950,"IRR/TOWNSHIP ROAD","1SW OF WALTHILL","SERIOUS CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"Nevada","Lyon County","County Highway Agency","Highway",1945,"SHADY AV","DAYTON","FAIR CONDITION","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION"
"New Hampshire","Rockingham County","City or Municipal Highway Agency","Highway",1850,"GRIFFIN MILL ROAD","300 YDS N. OF NH 121","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"New Hampshire","Merrimack County","City or Municipal Highway Agency","Highway",1930,"SHOP ROAD","0.8 MI N NEW CHESTER RD","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"New Hampshire","Hillsborough County","City or Municipal Highway Agency","Highway",2004,"DOUGHERTY LANE","0.8 MI FR SANDERS HILL R","VERY GOOD CONDITION","VERY GOOD CONDITION","IMMINENT FAILURE CONDITION"
"New Hampshire","Sullivan County","City or Municipal Highway Agency","Highway",1976,"PARADISE ROAD","380 FT. RTE.11","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"New Hampshire","Grafton County","City or Municipal Highway Agency","Highway",1940,"HIGH BRIDGE ROAD","150FT W TILLOTSON RD JCT","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"New Hampshire","Cheshire County","City or Municipal Highway Agency","Highway-pedestrian",1930,"CHRISTIAN HILL RD","50 FT FROM SOUTH GROVE S","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"New Hampshire","Carroll County","City or Municipal Highway Agency","Highway",1940,"MAPLE STREET","0.02MI. RTE 153","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"New Hampshire","Cheshire County","State Highway Agency","Highway-pedestrian",1930,"BRIDGE STREET","VERMONT STATE LINE","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"New Jersey","Burlington County","County Highway Agency","Highway",1926,"BRACE ROAD","600 Ft. S of Pemberton Rd","GOOD CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"New Jersey","Warren County","County Highway Agency","Highway",1868,"RYMON ROAD","0.1 MILE NO OF CR 645 JCT","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"New Mexico","McKinley County","County Highway Agency","Highway",1977,"31-0004","3.55 MI S OF S FRNTGE RD","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"New Mexico","Rio Arriba County","Town or Township Highway Agency","Highway",1960,"Camino Escondido",".3 mi NE US 64 in Chama","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"New Mexico","Otero County","Air Force","Highway",1970,"29 ROAD","350 FT E. OF CAMERA PAD R","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"New York","Rensselaer County","City or Municipal Highway Agency","Highway-pedestrian",1935,"SECOND AVENUE","CITY OF RENSSELAER","POOR CONDITION","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"New York","Hamilton County","County Highway Agency","Highway",1899,"STORER ROAD","2.4 MILES EAST OF BENSON","FAIR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"New York","Otsego County","Town or Township Highway Agency","Highway",1930,"MILL STREET","VILLAGE OF GILBERTSVILLE","VERY GOOD CONDITION","VERY GOOD CONDITION","IMMINENT FAILURE CONDITION"
"New York","Warren County","County Highway Agency","Highway",1896,"CR10 TO RIVER RD","1 MI NORTHWEST I87 EXIT24","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"New York","Seneca County","State Highway Agency","Highway-pedestrian",1914,"LOCUST STREET","AT WATERLOO-SH96 & B CNL","IMMINENT FAILURE CONDITION","POOR CONDITION","POOR CONDITION"
"New York","Dutchess County","National Park Service","Highway",1920,"DOCK STREET","0.1 MILES FROM HUDSON RIV","NOT APPLICABLE","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"North Carolina","Bladen County","State Highway Agency","Highway",1986,"US701NC41&242CLSD",".2 MI.N. OF JCT.NC 87 BUS","FAIR CONDITION","POOR CONDITION","IMMINENT FAILURE CONDITION"
"North Carolina","Perquimans County","State Highway Agency","Highway-pedestrian",1929,"US17BUS(CLOSED)","0.2 MI.N.JCT SR1110","FAIR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"North Carolina","Sampson County","State Highway Agency","Highway",1966,"SR1933","0.5 MI. S. SR1924","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION","FAIR CONDITION"
"North Carolina","Scotland County","City or Municipal Highway Agency","Highway",1950,"COMMONWEALTH AVE.",".2MI E.JCT.N.CALEDONA RD.","FAIR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"North Carolina","Harnett County","Army","Highway",1960,"TRAIL","PU 783 000","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"North Carolina","Hoke County","Army","Highway",1970,"FB 5","PU 703 903","FAILED CONDITION - out of service","SERIOUS CONDITION","IMMINENT FAILURE CONDITION"
"North Carolina","Hoke County","Army","Highway",1970,"FB 1","PU 711 925","POOR CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"North Carolina","Hoke County","Army","Highway",1970,"FIRE BREAK L RIVER","PU 685 934","IMMINENT FAILURE CONDITION","CRITICAL CONDITION","CRITICAL CONDITION"
"North Carolina","Hoke County","Army","Highway",1960,"FIREBREAK 35","RANGE Y1 (E)","IMMINENT FAILURE CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"North Carolina","Hoke County","Army","Highway",1960,"FIREBREAK 7","RANGE GG2 (W)","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"North Carolina","Hoke County","Army","Highway",1960,"FIREBREAK 14","RANGE HH1 (W) AREA","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"North Carolina","Hoke County","Army","Highway",1960,"FIREBREAK 13","RANGE BB3 (SW) AREA","SATISFACTORY CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"North Carolina","Hoke County","Army","Highway",1960,"FIREBREAK 14","RANGE BB3 (W)","POOR CONDITION","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION"
"North Carolina","Hoke County","Army","Highway",1960,"FIREBREAK 9","RANGE CC2 (E)","IMMINENT FAILURE CONDITION","SATISFACTORY CONDITION","CRITICAL CONDITION"
"North Carolina","Hoke County","Army","Highway",1970,"FIREBREAK 29","RANGE HH4 (E)","FAIR CONDITION","GOOD CONDITION","IMMINENT FAILURE CONDITION"
"North Carolina","Hoke County","Army","Highway",1960,"FIREBREAK 27","RANGE GG1 (W)","FAIR CONDITION","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"North Carolina","Hoke County","Army","Highway",1960,"FIREBREAK 9","RANGE W2 (W)","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"North Carolina","Hoke County","Army","Highway",1970,"FIREBREAK 4","RANGE GG3 (W) AREA","POOR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"North Dakota","Benson County","County Highway Agency","Highway",1907,"COUNTY HIGHWAY","8 WEST 3 SOUTH OBERON","IMMINENT FAILURE CONDITION","POOR CONDITION","SERIOUS CONDITION"
"North Dakota","McHenry County","County Highway Agency","Highway",1939,"COUNTY ROAD","2 WEST 9 SOUTH OF UPHAM","FAIR CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"North Dakota","Renville County","County Highway Agency","Highway",1935,"COUNTY ROAD","14 WEST 4 SOUTH SHERWOOD","NOT APPLICABLE","SATISFACTORY CONDITION","IMMINENT FAILURE CONDITION"
"North Dakota","Towner County","County Highway Agency","Highway",1945,"COUNTY HIGHWAY","6 NORTH 7 WEST ROCKLAKE","IMMINENT FAILURE CONDITION","SERIOUS CONDITION","CRITICAL CONDITION"
"Oregon","Linn County","Bureau of Land Management","Highway",1957,"11 S  03 E 35.01:","20.3 miles NE of Hwy 20 (","SATISFACTORY CONDITION","FAIR CONDITION","IMMINENT FAILURE CONDITION"
"Oregon","Deschutes County","County Highway Agency","Highway",1958,"GRIBBLING ROAD","1 MI SOUTH OF HWY 20","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Pennsylvania","Allegheny County","City or Municipal Highway Agency","Highway-pedestrian",1903,"RIDGE AV","301081 OVER N-S RR","CRITICAL CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","Allegheny County","City or Municipal Highway Agency","Highway",1909,"TIMBERLAND AV","301113 OFF RT 51 S","IMMINENT FAILURE CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Pennsylvania","Allegheny County","City or Municipal Highway Agency","Highway",1900,"OLD WILLIAMPENN HW","446002 OLD WM PENN HGWY","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","CRITICAL CONDITION"
"Pennsylvania","Allegheny County","City or Municipal Highway Agency","Highway-pedestrian",1915,"SPRING HILL RD","P09203 WALL BOROUGH","IMMINENT FAILURE CONDITION","POOR CONDITION","CRITICAL CONDITION"
"Pennsylvania","Beaver County","County Highway Agency","Highway",1884,"FALLSTON BR","004026 FALLSTON BRIDGE","POOR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Berks County","State Highway Agency","Highway",1927,"1003/06216/T-960","LK.ONTELAUNEE W.SHORE DR.","SERIOUS CONDITION","IMMINENT FAILURE CONDITION","SERIOUS CONDITION"
"Pennsylvania","Berks County","Railroad","Highway",1920,"CALCIUM ROAD","WEST OF MAIDEN CREEK","POOR CONDITION","IMMINENT FAILURE CONDITION","POOR CONDITION"
"Pennsylvania","Berks County","County Highway Agency","Highway",1883,"BOWERS ROAD","NE OF BERKLEY","FAIR CONDITION","IMMINENT FAILURE CONDITION","FAIR CONDITION"
"Pennsylvania","Berks County","City or Municipal Highway Agency","Highway-pedestrian",1922,"PENN  AVENUE","PENN AVENUE","POOR CONDITION","FAILED CONDITION - out of service","IMMINENT FAILURE CONDITION"
